test,disposition,reason,phone_351480,ipad_351480,phone_351567,ipad_351567
testUncontrolledAddressEntry,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,failed,passed
testSystemAddressEntry,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testAddRetainsUnfinishedTagAcrossDetailsDisclosure,required,Changed workflow or critical regression in frozen batch,failed,passed,passed,passed
testAddDraftRetainsTextAndRecoversAfterRejectedSave,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testAddDraftInNavigationStack,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,failed,passed,passed
testAddDraftWithHeaderConfiguredBeforePresentation,diagnostic,Controlled input or alternate composition; actual changed workflow remains required,passed,passed,passed,passed
testAddPhotoPreviewPagingAndDraftRemoval,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testOnboardingSubmitsTheCompleteNativeAddress,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testOnboardingKeyboardGoSubmitsCompleteAddress,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testHomeHeaderKeepsAllActionsAboveScrollingContent,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testHomeTabShellPreservesActionsAndAccessoryAfterTabReturn,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testHomeNotificationHitRegionBeyondAccessibilityFrame,required,Changed normal-size control semantics; triage audit result against actual workflow,passed,passed,passed,passed
testHomeAddHitRegionBeyondAccessibilityFrame,required,Changed normal-size control semantics; triage audit result against actual workflow,passed,passed,passed,passed
testHomeProfileHitRegionBeyondAccessibilityFrame,required,Changed normal-size control semantics; triage audit result against actual workflow,passed,passed,passed,passed
testHomeReturnCancelRestoresCheckout,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testHomeReturnDetailsRecoverInsideSheet,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testDraftPhotosRemoveTheChosenAttachmentAndRetainReadOnlyPreviews,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testDraftPhotoControlsAccessibility,required,Changed normal-size control semantics; triage audit result against actual workflow,passed,passed,passed,passed
testAppearanceUsesMenuWithoutNavigation,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testReminderModeUsesMenuWithoutNavigation,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testColorPickerOpensDirectlyAndClearPreservesParentDraft,required,Changed workflow or critical regression in frozen batch,failed,failed,passed,passed
testSettingsCollectionUsesNativeSearchAndAdd,required,Changed workflow or critical regression in frozen batch,passed,passed,failed,passed
testVoiceProposalLocationSearchRetryAndReturn,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testVoiceNativeHeaderKeepsProposalOnCloseAndCancelledReset,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testSettingsEditorNativeBackProtectsDirtyDraft,required,Changed workflow or critical regression in frozen batch,failed,passed,passed,passed
testSettingsEditorNativeSaveReturnsToCollection,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testSettingsEditorNativeArchiveConfirmsBeforeReturning,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testColorWellTargetOpensSystemPicker,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testColorWellHasSingleAccessibleName,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testColorWellDeliveredTouchRegion,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testExactExpirationUsesCompactNativePicker,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testActionableFeedbackStaysAvailable,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testAccountNativeCommandCancelAndRecovery,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
testConnectionNativeCommandCancelAndRecovery,required,Changed workflow or critical regression in frozen batch,passed,passed,passed,passed
